-r-------- 1 root root 128T Jan 18 10:56 /proc/kcore
-rw------- 1 root root 8.0G Dec  4 14:46 /swap.img
-rwxr-xr-x 1 root root 273M Dec 11 00:02 /opt/brave.com/brave/brave
-rwxr-xr-x 1 root root 251M Nov 19 15:40 /opt/google/chrome/chrome
-rw-r--r-- 1 root root 137M Aug 14 09:59 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
-rw-r--r-- 1 root root 87M Jan  6 07:15 /usr/lib/x86_64-linux-gnu/libwebkit2gtk-4.1.so.0.19.7
-rw-r--r-- 1 root root 86M Jan  6 07:15 /usr/lib/x86_64-linux-gnu/libwebkitgtk-6.0.so.4.13.7
-rw-r--r-- 1 root root 72M Dec  5 08:18 /boot/initrd.img-6.14.0-36-generic
-rw-r--r-- 1 root root 72M Jan 15 06:03 /boot/initrd.img-6.14.0-37-generic
-rw-r--r-- 1 root root 60M Jan 21 23:21 /var/cache/apt/pkgcache.bin
-rw-r--r-- 1 root root 59M Jan 21 09:31 /var/cache/apt/srcpkgcache.bin
-rwxr-xr-x 1 root root 53M Nov 19 09:50 /usr/sbin/mysqld
-rw-r--r-- 1 root root 40M Aug 18 03:26 /usr/lib/x86_64-linux-gnu/libgallium-25.0.7-0ubuntu0.24.04.2.so
-rwxr-xr-x 1 root root 39M Dec 16 15:25 /usr/bin/anydesk
-rw-r--r-- 1 root root 33M May 27  2024 /usr/lib/x86_64-linux-gnu/libclang-18.so.18
-rw-rw-r-- 1 sibus sibus 33M Dec  5 10:44 /home/sibus/.phpls/3%3Alaravel%2Fframework%3A12.40.2
-rw-rw-r-- 1 sibus sibus 32M Dec 27 02:38 /home/sibus/.phpls/3%3Alaravel%2Fframework%3A12.39.0
-rw-r--r-- 1 root root 31M Jan  6 07:15 /usr/lib/x86_64-linux-gnu/libjavascriptcoregtk-4.1.so.0.9.9
-rw-r--r-- 1 root root 31M Jan  6 07:15 /usr/lib/x86_64-linux-gnu/libjavascriptcoregtk-6.0.so.1.6.9
-rw-r--r-- 1 root root 30M Apr 16  2024 /usr/lib/x86_64-linux-gnu/libmozjs-115.so.115.10.0
-rw-r--r-- 1 root root 30M Aug  8  2024 /usr/lib/x86_64-linux-gnu/libicudata.a
